Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"PBBANK","PUBLIC BANK","Finanzwesen","Aktien","53.939.751,16","0,12","53.939.751,16","46.062.300,00","1,17","Malaysia","Bursa Malaysia","MYR"
"ETERNAL","ETERNAL","Zyklische Konsumgüter ","Aktien","53.786.678,40","0,12","53.786.678,40","16.007.940,00","3,36","Indien","National Stock Exchange Of India","INR"
"012330","HYUNDAI MOBIS LTD","Zyklische Konsumgüter ","Aktien","53.668.978,40","0,12","53.668.978,40","194.624,00","275,76","Korea","Korea Exchange (Stock Market)","KRW"
"EMIRATESNBD","EMIRATES NBD","Finanzwesen","Aktien","52.338.017,83","0,11","52.338.017,83","6.165.160,00","8,49","Ver. Arabische Emirate","Dubai Financial Market","AED"
"BBDC4","BANCO BRADESCO PREF","Finanzwesen","Aktien","52.082.090,26","0,11","52.082.090,26","14.798.344,00","3,52","Brasilien","XBSP","BRL"
"7769","HONPRECISION INC","IT","Aktien","51.762.408,84","0,11","51.762.408,84","269.000,00","192,43","Taiwan","Taiwan Stock Exchange","TWD"
"SBIN","STATE BANK OF INDIA","Finanzwesen","Aktien","50.997.699,93","0,11","50.997.699,93","4.948.510,00","10,31","Indien","National Stock Exchange Of India","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Zyklische Konsumgüter ","Aktien","50.854.487,08","0,11","50.854.487,08","395.433,00","128,60","Indien","National Stock Exchange Of India","INR"
"CIMB","CIMB GROUP HOLDINGS","Finanzwesen","Aktien","49.938.996,95","0,11","49.938.996,95","26.618.979,00","1,88","Malaysia","Bursa Malaysia","MYR"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Finanzwesen","Aktien","49.645.842,33","0,11","49.645.842,33","14.546.937,00","3,41","Brasilien","XBSP","BRL"
"CEMEXCPO","CEMEX CPO","Materialien","Aktien","49.595.207,08","0,11","49.595.207,08","48.564.305,00","1,02","Mexiko","Bolsa Mexicana De Valores","MXN"
"NTPC","NTPC LTD","Versorger","Aktien","49.491.135,02","0,11","49.491.135,02","14.405.509,00","3,44","Indien","National Stock Exchange Of India","INR"
"066570","LG ELECTRONICS INC","Zyklische Konsumgüter ","Aktien","49.207.652,73","0,11","49.207.652,73","343.546,00","143,23","Korea","Korea Exchange (Stock Market)","KRW"
"2328","PICC PROPERTY AND CASUALTY LTD H","Finanzwesen","Aktien","49.152.177,27","0,11","49.152.177,27","22.899.690,00","2,15","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2892","FIRST FINANCIAL HOLDING LTD","Finanzwesen","Aktien","48.695.343,17","0,11","48.695.343,17","38.098.878,00","1,28","Taiwan","Taiwan Stock Exchange","TWD"
"3653","JENTECH PRECISION INDUSTRIAL LTD","IT","Aktien","48.690.567,40","0,11","48.690.567,40","289.893,00","167,96","Taiwan","Taiwan Stock Exchange","TWD"
"BEL","BHARAT ELECTRONICS LTD","Industrie","Aktien","48.511.421,45","0,10","48.511.421,45","11.769.034,00","4,12","Indien","National Stock Exchange Of India","INR"
"ICT","INTERNATIONAL CONTAINER TERMINAL S","Industrie","Aktien","48.484.373,95","0,10","48.484.373,95","3.253.120,00","14,90","Philippinen","Philippine Stock Exchange Inc.","PHP"
"6223","MPI CORP","IT","Aktien","48.474.868,66","0,10","48.474.868,66","281.000,00","172,51","Taiwan","Gretai Securities Market","TWD"
"TATASTEEL","TATA STEEL LTD","Materialien","Aktien","48.194.305,18","0,10","48.194.305,18","24.687.069,00","1,95","Indien","National Stock Exchange Of India","INR"
"2880","HUA NAN FINANCIAL HOLDINGS","Finanzwesen","Aktien","47.307.911,98","0,10","47.307.911,98","31.488.403,00","1,50","Taiwan","Taiwan Stock Exchange","TWD"
"SHFL","SHRIRAM FINANCE LTD","Finanzwesen","Aktien","46.832.398,12","0,10","46.832.398,12","4.515.561,00","10,37","Indien","National Stock Exchange Of India","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Nichtzyklische Konsumgüter","Aktien","46.552.694,29","0,10","46.552.694,29","2.299.531,00","20,24","Indien","National Stock Exchange Of India","INR"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Finanzwesen","Aktien","46.344.509,90","0,10","46.344.509,90","16.866.687,00","2,75","Brasilien","XBSP","BRL"
